step	mAP50(B)
0	0.03379
1	0.18224
2	0.13165
3	0.17351
4	0.1194
5	0.09148
6	0.07595
7	0.08651
8	0.11099
9	0.07097
10	0.20299
11	0.38532
12	0.1504
13	0.06446
14	0.00649
15	0.03011
16	0.43601
17	0.76609
18	0.81545
19	0.81851
20	0.80394
21	0.80576
22	0.83025
23	0.8022
24	0.80929
25	0.8494
26	0.868
27	0.82711
28	0.8549
29	0.91755
30	0.92942
31	0.93708
32	0.91983
33	0.89516
34	0.88732
35	0.92116
36	0.93143
37	0.95562
38	0.9632
39	0.94947
40	0.94662
41	0.9494
42	0.94803
43	0.9509
44	0.94618
45	0.95591
46	0.95089
47	0.95987
48	0.96176
49	0.97339
50	0.97446
51	0.97053
52	0.96382
53	0.95948
54	0.95765
55	0.95278
56	0.94641
57	0.96395
58	0.97216
59	0.96044
60	0.96714
61	0.95391
62	0.95883
63	0.97241
64	0.97359
65	0.97192
66	0.96745
67	0.97745
68	0.97718
69	0.97726
70	0.97519
71	0.978
72	0.97199
73	0.97601
74	0.98207
75	0.97838
76	0.97398
77	0.97848
78	0.97484
79	0.96838
80	0.9595
81	0.96117
82	0.96974
83	0.9778
84	0.97766
85	0.97612
86	0.97587
87	0.97015
88	0.96727
89	0.97726
90	0.98184
91	0.9772
92	0.97641
93	0.97423
94	0.97154
95	0.97309
96	0.97486
97	0.9747
98	0.97471
99	0.97685
