step	mAP50-95(B)
0	0.02347
1	0.13896
2	0.08863
3	0.1272
4	0.0833
5	0.06353
6	0.04222
7	0.05424
8	0.05852
9	0.0428
10	0.13364
11	0.24449
12	0.08739
13	0.02797
14	0.00281
15	0.0176
16	0.29073
17	0.54001
18	0.59696
19	0.58194
20	0.57792
21	0.55162
22	0.5727
23	0.56412
24	0.60744
25	0.649
26	0.66492
27	0.61507
28	0.61721
29	0.6901
30	0.69021
31	0.70488
32	0.68656
33	0.66989
34	0.67527
35	0.69569
36	0.72985
37	0.78206
38	0.79115
39	0.78207
40	0.77583
41	0.77229
42	0.76811
43	0.76785
44	0.76465
45	0.79914
46	0.79425
47	0.78746
48	0.78935
49	0.80133
50	0.79703
51	0.80893
52	0.80329
53	0.78796
54	0.79651
55	0.79338
56	0.78135
57	0.82464
58	0.84449
59	0.82194
60	0.85634
61	0.81974
62	0.82436
63	0.8298
64	0.82983
65	0.8457
66	0.85133
67	0.84987
68	0.85753
69	0.86516
70	0.85107
71	0.87005
72	0.85505
73	0.84794
74	0.84776
75	0.87635
76	0.87347
77	0.8597
78	0.86246
79	0.86384
80	0.84907
81	0.85763
82	0.87121
83	0.88454
84	0.89101
85	0.88734
86	0.88073
87	0.88515
88	0.88261
89	0.8964
90	0.90125
91	0.90293
92	0.90541
93	0.90639
94	0.90163
95	0.90458
96	0.90621
97	0.90999
98	0.90921
99	0.90855
