step	precision(B)
0	0.00147
1	0.00249
2	0.00295
3	0.00295
4	0.00295
5	0.0027
6	0.00256
7	0.00274
8	0.0026
9	0.10826
10	1.0
11	0.67183
12	0.25347
13	0.17221
14	0.02893
15	0.10696
16	0.65368
17	0.6496
18	0.68734
19	0.76698
20	0.809
21	0.89068
22	0.73435
23	0.69954
24	0.69133
25	0.76041
26	0.77159
27	0.72233
28	0.73308
29	0.79432
30	0.87842
31	0.8248
32	0.82531
33	0.80097
34	0.83121
35	0.74104
36	0.7912
37	0.8963
38	0.88895
39	0.84007
40	0.83546
41	0.86928
42	0.83573
43	0.89983
44	0.96222
45	0.86609
46	0.84298
47	0.87819
48	0.8952
49	0.93924
50	0.93492
51	0.97585
52	0.9692
53	0.93464
54	0.94194
55	0.91162
56	0.86832
57	0.89439
58	0.90199
59	0.89362
60	0.92152
61	0.8438
62	0.92609
63	0.90521
64	0.95486
65	0.87191
66	0.93394
67	0.93694
68	0.96624
69	0.96561
70	0.89868
71	0.91072
72	0.88029
73	0.93673
74	0.93805
75	0.96184
76	0.91567
77	0.98845
78	0.94467
79	0.93748
80	0.86845
81	0.9129
82	0.90786
83	0.92689
84	0.91705
85	0.90183
86	0.89634
87	0.90882
88	0.85818
89	0.89117
90	0.90131
91	0.89917
92	0.91818
93	0.89374
94	0.85481
95	0.91008
96	0.8931
97	0.89043
98	0.89088
99	0.94149
