step	recall(B)
0	0.44211
1	0.74737
2	0.88421
3	0.88421
4	0.88421
5	0.81053
6	0.76842
7	0.82105
8	0.77895
9	0.09474
10	0.02054
11	0.25867
12	0.1787
13	0.05263
14	0.02105
15	0.08421
16	0.34737
17	0.64211
18	0.69474
19	0.72632
20	0.71341
21	0.60036
22	0.78569
23	0.8
24	0.82517
25	0.76841
26	0.77895
27	0.75789
28	0.83158
29	0.89433
30	0.83662
31	0.90526
32	0.89474
33	0.89474
34	0.88125
35	0.89474
36	0.86316
37	0.87368
38	0.92689
39	0.8847
40	0.90526
41	0.89474
42	0.91041
43	0.89474
44	0.76842
45	0.88507
46	0.90422
47	0.91068
48	0.89921
49	0.88421
50	0.90732
51	0.85071
52	0.83158
53	0.84211
54	0.85263
55	0.86864
56	0.87368
57	0.8915
58	0.90526
59	0.88428
60	0.86526
61	0.91579
62	0.83158
63	0.90469
64	0.85263
65	0.96842
66	0.89296
67	0.92632
68	0.90395
69	0.87368
70	0.93372
71	0.91579
72	0.94737
73	0.93502
74	0.95789
75	0.92632
76	0.90526
77	0.90107
78	0.88421
79	0.86316
80	0.90343
81	0.88259
82	0.93344
83	0.93422
84	0.93097
85	0.93684
86	0.94737
87	0.89474
88	0.95548
89	0.94737
90	0.96139
91	0.93872
92	0.91579
93	0.94737
94	0.96842
95	0.88421
96	0.91579
97	0.94104
98	0.94737
99	0.89474
