step	dfl_loss
0	2.50082
1	1.8703
2	1.94372
3	1.8738
4	1.8741
5	1.98377
6	1.92934
7	2.00919
8	2.05941
9	1.95484
10	2.00607
11	1.96831
12	2.08259
13	1.98752
14	2.00531
15	2.0123
16	2.01436
17	1.98631
18	1.98512
19	2.02641
20	1.99316
21	1.95234
22	2.04826
23	1.95421
24	2.02888
25	1.91404
26	1.96337
27	1.89548
28	1.98431
29	1.91312
30	1.91684
31	1.91894
32	1.9186
33	1.90287
34	1.84915
35	1.95588
36	1.91831
37	1.854
38	1.88873
39	1.87189
40	1.91859
41	1.84001
42	1.74596
43	1.96299
44	1.88309
45	1.82473
46	1.87277
47	1.87158
48	1.8359
49	1.8034
50	1.80782
51	1.80434
52	1.84135
53	1.85873
54	1.82753
55	1.85119
56	1.77001
57	1.8247
58	1.7999
59	1.86665
60	1.75726
61	1.78146
62	1.82246
63	1.75681
64	1.78784
65	1.85597
66	1.84553
67	1.76769
68	1.82029
69	1.78322
70	1.78891
71	1.82408
72	1.74799
73	1.79391
74	1.79189
75	1.7373
76	1.75528
77	1.75995
78	1.76123
79	1.7744
80	1.79759
81	1.73665
82	1.78305
83	1.77834
84	1.79387
85	1.71928
86	1.75291
87	1.71887
88	1.71025
89	1.70809
90	1.66253
91	1.61771
92	1.63965
93	1.62983
94	1.68721
95	1.63212
96	1.70631
97	1.66413
98	1.64752
99	1.61415
